artist,album,track_name,track_id,popularity,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lenka,Lenka,The Show,6IfGxW1hRMUjjgVSDXwcAi,0,[],0.753,0.59,0,-4.144,1,0.0317,0,0.0836,0.593,123.028,235693,4
Sufjan Stevens,All Delighted People,Enchanting Ghost,3g7rd5sRggCIBkZpVfh6ks,35,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",0.542,0.29,9,-11.429,0,0.0282,0.000583,0.112,0.413,139.676,219453,5
Wilco,Alpha Mike Foxtrot: Rare Tracks 1994 - 2014,True Love Will Find You in the End,0UXngwOq5t4Lazgxg96ryr,35,"['alternative country', 'alternative rock', 'chicago indie', 'indie pop', 'indie rock', 'rock', 'roots rock', 'stomp and holler']",0.606,0.459,7,-8.457,1,0.0222,0.0149,0.114,0.484,100.239,230933,4
PHOX,PHOX,Slow Motion,0gqysuo5JAFi4J1chidYzK,38,"['chamber pop', 'wisconsin indie']",0.548,0.503,7,-9.329,1,0.0306,0.000743,0.0733,0.482,133.76,294498,4
Wilco,Yankee Hotel Foxtrot,Radio Cure,5y4MDqm1PYa2T1vT6vboJI,43,"['alternative country', 'alternative rock', 'chicago indie', 'indie pop', 'indie rock', 'rock', 'roots rock', 'stomp and holler']",0.481,0.201,9,-15.272,1,0.0344,0.0126,0.111,0.159,79.072,308533,4
Grizzly Bear,Veckatimest,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,71,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'new weird america', 'nu gaze', 'shimmer pop', 'stomp and holler']",0.537,0.712,5,-5.597,1,0.0286,0.00568,0.08,0.704,159.871,243160,4
Various Artists,Barsuk Records Treats 2015,Water (feat. Rostam),79CB8J23CERN6uJzL2Ah9k,0,[],0.574,0.85,4,-4.297,1,0.0899,0,0.11,0.428,159.891,280333,4
The Neighbourhood,"Thank You,",A Little Death,0Ot6e3wYVQQ1Us9PM977jE,65,"['modern alternative rock', 'modern rock', 'pop']",0.53,0.763,6,-4.712,0,0.0332,1.86e-06,0.105,0.338,88.013,209707,4
The Band CAMINO,I Spend Too Much Time in My Room,I Spend Too Much Time in My Room,6XHikJpK06NoXaFwkH4tPL,50,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",0.48,0.439,9,-7.221,1,0.025,0.00385,0.514,0.152,97.055,272378,4
Jack Johnson,In Between Dreams,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,70,['neo mellow'],0.816,0.375,7,-8.053,1,0.0996,8.66e-06,0.0933,0.615,114.303,191907,4
Jack Johnson,From Here To Now To You,I Got You,5WjDmjD39LsFCRRALhorjd,49,['neo mellow'],0.899,0.399,11,-6.553,1,0.038,1.52e-05,0.0923,0.544,98.067,179347,4
Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",This Is Gospel,3yZQk5PC52CCmT4ZaTIKvv,72,"['baroque pop', 'emo', 'modern rock']",0.572,0.912,7,-4.875,1,0.0707,1.2e-06,0.102,0.606,156.073,187187,4
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,88,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.691,0.631,2,-6.478,1,0.0368,1.13e-05,0.104,0.8,92.004,161124,4
Cavetown,This Is Home,This Is Home,2TI2fw9FWPeah6N4k1b4NU,14,"['bedroom pop', 'indie pop', 'modern rock']",0.81,0.266,7,-12.478,1,0.0407,1.05e-06,0.0962,0.212,130.041,226073,4
Big Thief,Dandelion,Masterpiece - (solo),5cic8eTn6twPA0ArO8zcjR,51,"['art pop', 'brooklyn indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'small room', 'stomp and holler']",0.555,0.183,4,-8.58,1,0.0375,0,0.116,0.223,131.22,240955,4
Oh Wonder,Without You (BBC Session),Without You - BBC Session,7AuVmE2RMpRCKkzNRxziwq,36,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'pop']",0.438,0.058,11,-25.753,0,0.147,2.62e-06,0.144,0.388,175.321,235320,4
Hate Drugs,Beach Weekend,Never Wanna Leave,1Pa01iyZXm2CYtF0CbeXOG,47,['socal indie'],0.267,0.105,0,-18.003,1,0.0364,0.181,0.0918,0.056,175.273,215476,3
Jesse Davidson,Lizard Boy,Will You Find Me,6VawWNiQidAnpI6kmLOULc,34,['adelaide indie'],0.491,0.215,9,-11.198,1,0.0271,0.0283,0.115,0.39,80.287,211119,4
The xx,xx,Intro,0DAsxISzun85PbsqAfIzeC,52,"['downtempo', 'dream pop', 'indietronica']",0.617,0.778,9,-8.871,0,0.027,0.925,0.128,0.152,100.363,127920,4
The xx,I See You (Deluxe),I Dare You,0a0uLZhV1RcpiGy9ennJvb,31,"['downtempo', 'dream pop', 'indietronica']",0.752,0.543,1,-9.483,1,0.0398,0.0706,0.107,0.282,126.001,233280,4
Red Hot Chili Peppers,Stadium Arcadium,Readymade,2Y5ngAobMcspRywfmb77k5,52,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.524,0.945,11,-2.467,0,0.0797,0.00332,0.108,0.8,149.819,270467,4
EDEN,i think you think too much of me,rock + roll,0Mf6WhWLfOpzOxacvbcboj,64,"['electropop', 'indie poptimism', 'modern rock', 'pop']",0.468,0.517,0,-7.049,0,0.0574,0.00705,0.171,0.425,69.282,296053,4
Various Artists,The Flash – Music from the Special Episode: Duet,Moon River,6WZRJoYxnqshV9kXJPJxIu,0,[],0.29,0.154,10,-11.548,1,0.033,0,0.118,0.185,65.924,134787,3
Above & Beyond,Acoustic,Satellite / Stealing Time,7fBKJ3CxmG1LQHexTIY7g7,0,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",0.39,0.381,9,-10.525,0,0.0295,2.52e-05,0.111,0.122,132.917,304984,4
Tame Impala,Currents,Let It Happen,2X485T9Z5Ly0xyaghN73ed,78,"['australian psych', 'neo-psychedelic']",0.602,0.881,1,-5.875,0,0.0443,0.0266,0.111,0.577,125.012,467587,4
The Paper Kites,twelvefour,Revelator Eyes,4A8wLC09mcPYI6ZwM6Ia44,45,"['australian indie folk', 'indie folk', 'stomp and holler']",0.52,0.717,8,-9.016,1,0.0299,0.054,0.173,0.568,153.025,262267,4
Alexi Murdoch,Four Songs,Song For You,6okQlv5v9VaJEzoxBUAx4S,52,"['acoustic pop', 'british singer-songwriter', 'indie folk', 'neo mellow', 'stomp and holler']",0.501,0.104,4,-25.111,1,0.0355,0.00298,0.116,0.302,154.798,257160,4
Troye Sivan,Bloom,Dance To This (feat. Ariana Grande),2NjO87HyT80fsgejd3PLYW,73,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",0.736,0.756,11,-7.099,1,0.047,0.00577,0.106,0.712,117.016,231847,4
John Mayer,Where the Light Is: John Mayer Live In Los Angeles,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0EUSbTvyZfo9QOcxunL9Ro,60,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.368,0.44,4,-11.486,1,0.0294,8.83e-05,0.966,0.285,91.799,345627,4
The Paper Kites,twelvefour,Electric Indigo,79xbBvSiL94cKEww2amEI4,51,"['australian indie folk', 'indie folk', 'stomp and holler']",0.576,0.698,1,-8.011,1,0.035,0.198,0.117,0.698,95.978,223520,4
Elliott Smith,Either/Or: Expanded Edition,Punch and Judy,13LcTfTWaNHGDgZHbxTaxk,0,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'singer-songwriter']",0.496,0.379,9,-12.901,0,0.0365,0.138,0.115,0.208,132.227,145707,4
John Mayer,Born and Raised,The Age of Worry,1RywwImkBFUEVcRTBmw7vL,56,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.508,0.362,7,-9.24,1,0.0251,4.48e-05,0.146,0.294,67.339,157587,4
Joywave,How Do You Feel Now?,Nice House,0GAvMukpDYssdZgMLsSuhx,44,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'rock', 'shimmer pop']",0.549,0.754,5,-6.818,1,0.0489,0.0692,0.124,0.0475,134.988,340040,4
The xx,I See You (Deluxe),Seasons Run,2hYwDaO91sbawS7qmrfI52,40,"['downtempo', 'dream pop', 'indietronica']",0.57,0.668,11,-7.212,1,0.0293,0.0138,0.195,0.317,107.012,260292,4
a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,86,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4
The Chieftains,Voice of Ages,Down In The Willow Garden,1lryIQgUxmnNNh37oLCN6G,41,"['celtic', 'irish folk']",0.264,0.155,9,-15.25,1,0.0329,0.13,0.107,0.181,98.414,256067,3
The Paper Kites,twelvefour: outtakes,Holes,4fpAxDV1fhSHMotzyKkFhz,40,"['australian indie folk', 'indie folk', 'stomp and holler']",0.526,0.318,1,-13.514,1,0.028,0.347,0.103,0.162,79.981,268933,3
A Silent Film,Sam's Town (Piano Versions),When You Were Young - Piano Version,7qWh074v3oQ1ztuGjeXcLy,35,"['oxford indie', 'stomp pop']",0.639,0.178,8,-13.525,0,0.0461,0.00118,0.0945,0.247,124.769,224960,4
Panic! At The Disco,Death of a Bachelor,Death of a Bachelor,1BECwm5qkaBwlbfo4kpYx8,73,"['baroque pop', 'emo', 'modern rock']",0.462,0.538,0,-5.527,1,0.059,0,0.429,0.405,139.256,203507,4
Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Home,7pBsquIkbED6W6uSQJGbkn,67,[],0.604,0.736,10,-5.596,0,0.0555,0.109,0.11,0.345,118.012,211360,4
Psychic Babble,My Brother's Ears/My Sister's Eyes,Five Fold Kiss (Don't Sleep),409pABExhKsAxAMdFgWZYD,24,[],0.632,0.622,5,-6.843,1,0.0291,0.0151,0.57,0.41,110.043,264947,4
The Greeting Committee,It’s Not All That Bad,Hands Down,0dqJjKKxuKD5Dt3QH2n4CG,57,"['indie pop', 'kc indie', 'modern rock']",0.426,0.634,4,-7.116,1,0.0341,0.00356,0.222,0.284,98.925,257693,4
Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,3FTRSa9mWB3kKx2jkhUAN3,62,"['desi hip hop', 'desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",0.751,0.344,6,-7.712,1,0.0379,1.62e-06,0.113,0.471,122.1,235932,3
Sea Wolf,Old World Romance,Whirlpool,5SDEirHg6Y8fCYuKMnAaC5,37,"['indie folk', 'indie pop', 'la indie', 'stomp and holler']",0.548,0.509,9,-7.937,1,0.0288,0.702,0.079,0.484,78.974,232333,4
Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)","Dil Beparvah - The Dewarists, Season 5",4kXkT9HF9ZfDjuv3LIKcwJ,59,"['indian indie', 'indian rock', 'indian singer-songwriter', 'modern bollywood', 'pakistani pop', 'sufi']",0.762,0.391,1,-11.735,1,0.0337,0.000521,0.112,0.355,137.956,250000,3
Dancing Years,Learn to Kiss,Valentine,4Am4uSsB2uxcz5e34SxEiH,31,['indie anthem-folk'],0.389,0.227,0,-11.637,1,0.0312,0.000105,0.113,0.111,117.8,246573,4
Beach Weather,What a Drag,Swoon,1280ebYtTct0ytDEZdrcvQ,47,[],0.668,0.67,6,-5.919,0,0.0486,0.00942,0.119,0.654,92.016,221926,4
Iron & Wine,Call It Dreaming,Call It Dreaming,0iWUW8UNkmyUa8Aa6anow6,27,"['acoustic pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",0.509,0.515,5,-9.442,1,0.0316,5.76e-05,0.0966,0.717,80.089,231760,4
Michael Kiwanuka,Love & Hate,Love & Hate,7oOEFDLSQscl0uGulnIEmG,68,"['british soul', 'funk', 'neo soul', 'psychedelic soul', 'soul']",0.278,0.494,7,-7.853,0,0.029,0.000407,0.173,0.527,169.661,427093,4
Shankar-Ehsaan-Loy,Rock On,Ye Tumhari Meri Baatein,1xaj4bm3GMthtoZHUfepl1,51,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.351,0.552,5,-7.404,1,0.0273,0.000494,0.112,0.319,87.769,324058,4
Christian Leave,Hope,Please Notice,36seMHoyXmLUNxcwzwjdF7,73,"['indie cafe pop', 'indie pop', 'pop']",0.55,0.271,2,-8.451,1,0.0297,3.21e-06,0.107,0.198,111.344,116667,4
The Local Train,Vaaqif,Aaftaab,4LtSTc3xANVhYeeN69nscM,59,"['desi hip hop', 'desi pop', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",0.464,0.391,6,-9.884,1,0.0384,9.64e-05,0.105,0.418,106.877,233472,4
Various Artists,Jhoom - Ali Zafar (Original),Jhoom,6p8QLtqjp17hT7Gx0thm8E,41,[],0.731,0.516,0,-10.565,1,0.0354,0,0.108,0.606,128.029,384993,4
Beta Radio,Colony of Bees,Monument,79DVsKNOFWqtEIGSxbLjnV,24,"['acoustic pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and flutter', 'stomp and holler']",0.243,0.36,3,-10.682,1,0.0363,0.0232,0.125,0.113,96.004,318093,4
Vansire,Nice to See You,Nice to See You,79OHuiNbjDmlz3xjYMNcaA,49,"['bedroom pop', 'indie garage rock', 'indie pop', 'rochester mn indie']",0.539,0.535,1,-9.717,1,0.0319,0.632,0.263,0.352,78.885,181678,4
Lauv,i'm so tired... (Stripped - Live in LA),i'm so tired... - Stripped - Live in LA,6bnT4Xhs1lkOHgFjHq6M3b,1,"['electropop', 'pop', 'post-teen pop']",0.491,0.196,11,-8.455,1,0.0465,0,0.0986,0.364,93.818,187675,4
Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,5YgKH936kLB3ZMuMQf4nxG,0,"['ann arbor indie', 'bedroom soul', 'chill r&b', 'indie cafe pop', 'indie pop']",0.52,0.319,5,-7.461,1,0.0291,2.52e-05,0.138,0.165,62.985,243797,4
Karen O,Where The Wild Things Are Motion Picture Soundtrack: Original Songs By Karen O And The Kids,Hideaway,5n0s9Ec2un5JNq8YnKnbgO,44,"['indie rock', 'new jersey indie']",0.256,0.22,6,-15.686,1,0.0387,0.502,0.0937,0.0386,81.681,310920,4
Cold War Kids,LA DIVINE,Free To Breathe,0LGjEqDTpbAdQG8INBag3s,32,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",0.406,0.108,2,-13.723,1,0.05,0.0123,0.115,0.147,79.668,199560,1
The Milk Carton Kids,Prologue,Michigan,0WkJWnMCumm1fnFscdY7Rw,11,"['indie folk', 'new americana', 'progressive bluegrass', 'stomp and flutter', 'stomp and holler']",0.554,0.235,10,-14.609,1,0.0342,0.00328,0.114,0.232,121.836,330772,4
Ollie MN,OMN,In Quiet Rooms,1IXiBroTLzGMKvd2OTR0GG,48,['indie pop'],0.821,0.35,7,-10.571,1,0.0412,0.478,0.329,0.379,119.991,306000,4
John Mayer,I Guess I Just Feel Like,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,74,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.556,0.528,4,-8.033,1,0.0266,0.0964,0.122,0.163,159.821,285480,4
Brolly,Hollow Home Rd,Hollow Home Rd,50e8CZRLfPWaP3qaXB8ttR,32,['sacramento indie'],0.369,0.273,0,-5.71,1,0.0317,2.31e-05,0.103,0.174,146.652,263752,3
John Mayer,Room For Squares,Not Myself,24QhGejjYWG2CfbHRGLmEr,47,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.539,0.49,1,-7.258,1,0.0234,0.0166,0.102,0.226,89.991,216573,4
Toh Kay,Streetlight Lullabies,"A Better Place, a Better Time",1PcWIO6xttH5x7xw76jYnW,40,"['folk punk', 'ska', 'ska punk']",0.559,0.292,1,-14.053,1,0.0523,0.428,0.113,0.609,120.445,366240,4
The Paper Kites,Woodland - EP,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,76,"['australian indie folk', 'indie folk', 'stomp and holler']",0.592,0.416,1,-9.794,1,0.0246,0.000586,0.112,0.417,96.002,210080,4
The Black Skirts,Hollywood,Hollywood,4kqN6K6J1nM18zivvFLx8v,50,"['k-indie', 'k-rock', 'korean dream pop', 'korean indie rock', 'korean pop']",0.552,0.782,1,-8.082,0,0.0302,0.904,0.1,0.513,147.953,331000,4
Valley,This Room Is White,Slacks,2SYWArhFYrwDYm0gM1aonU,40,"['electropop', 'indie cafe pop', 'indie electropop', 'indie pop', 'indie poptimism', 'indiecoustica', 'indietronica']",0.573,0.472,11,-12.427,1,0.0289,0.135,0.0937,0.0741,104.001,318960,4
Blah Blah Blah,This Is for the Time,No I Never,6Oq3FMO4LElj1FYsGcrCgW,34,['chicago indie'],0.529,0.584,0,-7.602,1,0.0413,0.185,0.186,0.29,120.934,139067,3
Daphne Loves Derby,Acoustic,"Simple, Starving to Be Safe",5pkCrzoTHVKyJPLI0ukJ01,32,"['dreamo', 'washington indie']",0.652,0.36,4,-13.882,1,0.0352,0.000145,0.113,0.395,134.978,231053,4
Tycho,Weather,Skate,566w1sloS9qx61zl7bN9GE,44,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",0.703,0.231,5,-13.094,0,0.0338,0.0207,0.103,0.421,97.07,187340,4
Charli XCX,Boys,Boys,5o4yGlG0PfeVUa6ClIyOxq,67,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",0.867,0.545,2,-5.192,1,0.0625,0.000289,0.0505,0.525,139.943,162586,4
Simon Steadman,Hold on (Rudderless Soundtrack),Hold on (Rudderless Soundtrack),513Xg3PLHnA7ZNDZPWyFbs,20,['grunge pop'],0.635,0.464,0,-8.166,1,0.0276,0,0.0867,0.272,87.987,180778,4
Alvvays,Alvvays,"Archie, Marry Me",5HLes17mwCwKt81mi0Tk35,62,"['indie pop', 'indie rock', 'shoegaze', 'toronto indie']",0.27,0.83,7,-4.592,1,0.0741,0.434,0.142,0.205,117.314,196560,4
Vansire,Angel Youth,Nice to See You,7nEZZ1mWK7h98x8ENbQuqJ,58,"['bedroom pop', 'indie garage rock', 'indie pop', 'rochester mn indie']",0.539,0.535,1,-9.717,1,0.0319,0.632,0.263,0.352,78.885,181678,4
Mutemath,Mutemath,You Are Mine,5dd0OgF6h9sXrj7jhRPUhB,41,['dreamo'],0.386,0.707,7,-8.56,0,0.0386,0.0641,0.366,0.402,104.868,283720,3
