name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
True Love Waits,True Love Waits (Christopher O'Riley Plays Radiohead),Christopher O'Riley,2003-05-30,[],295746,21,0.254,0.0641,0,-25.307,1,0.034,0.994,0.832,0.0827,0.038,116.667,5
All in the Waiting,Electric Tears,Buckethead,2002,"['funk metal', 'instrumental rock', 'neo classical metal', 'shred']",224000,33,0.436,0.227,6,-10.491,1,0.0472,0.85,0.304,0.11,0.102,201.176,4
Inmazes,Inmazes,VOLA,2016-09-16,"['djent', 'progressive alternative']",450026,29,0.485,0.518,2,-6.17,0,0.032,0.0027,6.99e-05,0.0634,0.333,139.935,4
This Sky,Songlines,The Derek Trucks Band,2006-02-21,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'funk', 'jam band', 'modern blues', 'roots rock', 'southern rock']",391986,52,0.445,0.544,9,-10.925,1,0.0314,0.698,0.477,0.115,0.222,101.172,4
Beneath the Surface,A Dramatic Turn of Events,Dream Theater,2011-08-25,"['metal', 'neo classical metal', 'progressive metal', 'progressive rock', 'rock']",326426,40,0.489,0.369,4,-10.314,1,0.0286,0.541,7.15e-06,0.175,0.378,133.912,4
Don’t Run,Pocketknife,Mr Little Jeans,2014-01-01,"['chillwave', 'indie poptimism', 'indietronica', 'shimmer pop']",315453,21,0.531,0.614,0,-6.807,1,0.0307,0.0359,0.00413,0.292,0.125,100.037,4
Tides,Planetarium,James McAlister,2017-06-09,['experimental pop'],58417,29,0.144,0.14,9,-22.054,0,0.0369,0.991,0.749,0.16,0.186,91.502,4
Summer All Over the World,Phineas and Ferb: Last Day of Summer (Original Soundtrack),Various Artists,2015-01-01,[],143960,35,0.572,0.791,2,-5.178,1,0.228,0.0547,0.0,0.0382,0.712,166.066,4
Feels - Jai Wolf Remix,Feels (Jai Wolf Remix),Kiiara,2016-03-09,"['electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop']",270222,56,0.556,0.762,1,-1.961,0,0.0299,0.463,0.0,0.0957,0.225,135.013,4
Feels - Jai Wolf Remix,Feels (Jai Wolf Remix),Kiiara,2016-03-09,"['electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop']",270222,56,0.556,0.762,1,-1.961,0,0.0299,0.463,0.0,0.0957,0.225,135.013,4
You Are the Best Thing,Gossip In The Grain,Ray LaMontagne,2008-10-13,"['acoustic pop', 'indie folk', 'neo mellow', 'new americana', 'pop rock', 'stomp and holler']",231840,69,0.579,0.727,10,-4.872,1,0.0332,0.0304,1.99e-05,0.172,0.885,170.593,4
Carrie & Lowell - Live,Carrie & Lowell Live,Sufjan Stevens,2017-04-28,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",278022,27,0.511,0.329,9,-12.504,0,0.0366,0.644,0.000872,0.96,0.068,98.95,4
Piano Piece,Silent Souls,Ghosts Of Paraguay,2011-08-31,"['chillstep', 'substep']",267100,34,0.573,0.463,1,-12.3,0,0.0315,0.023,0.86,0.259,0.0356,120.018,3
Mitwa,Lagaan (Original Motion Picture Soundtrack),A.R. Rahman,2001-04-03,"['desi pop', 'filmi', 'modern bollywood']",407800,47,0.627,0.408,2,-7.793,1,0.0988,0.387,0.0,0.126,0.694,172.006,4
My Book of Regrets,4 1/2,Steven Wilson,2016-01-22,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",575793,31,0.355,0.569,9,-11.445,1,0.0399,0.00311,0.171,0.087,0.292,121.933,4
The Holy Drinker,The Raven That Refused to Sing (and Other Stories),Steven Wilson,2013-02-25,"['alternative metal', 'art rock', 'progressive metal', 'progressive rock', 'symphonic rock']",613814,36,0.378,0.547,4,-10.866,1,0.0362,0.00354,0.153,0.122,0.103,106.752,4
Rifts & Monoliths (Battle),Halfway Original Soundtrack,Gavin Harrison,2014-11-17,[],280714,0,0.545,0.718,4,-12.657,0,0.0369,0.0389,0.863,0.0934,0.653,140.044,4
Heading Home - Imagined Herbal Flows Remix,Heading Home (Remixes),Gryffin,2016-05-20,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",188106,37,0.697,0.754,7,-4.88,0,0.0338,0.00319,0.0394,0.0971,0.15,110.951,4
Home,Halfway Original Soundtrack,Gavin Harrison,2014-11-17,[],159703,0,0.066,0.164,4,-22.813,0,0.0347,0.908,0.868,0.0951,0.0374,67.986,3
The Reactor,Halfway Original Soundtrack,Gavin Harrison,2014-11-17,[],229285,1,0.253,0.157,7,-20.087,0,0.103,0.767,0.831,0.0586,0.103,140.173,4
Halfway (Reprise),Halfway Original Soundtrack,Gavin Harrison,2014-11-17,[],113180,0,0.105,0.195,7,-12.001,0,0.036,0.381,0.751,0.208,0.0396,80.456,4
Amber,Halfway Original Soundtrack,Gavin Harrison,2014-11-17,[],252857,0,0.167,0.143,0,-20.184,0,0.0439,0.985,0.954,0.0735,0.0382,129.607,4
What Should I Do,Habits of My Heart,Jaymes Young,2014-09-28,"['indie poptimism', 'modern rock', 'pop']",220024,42,0.794,0.68,9,-7.138,0,0.0367,0.0564,0.00116,0.2,0.698,118.049,4
Goodbye,The Vanishing Race,Air Supply,1993-05-07,"['adult standards', 'mellow gold', 'soft rock']",242853,66,0.401,0.531,3,-6.991,1,0.0301,0.223,1.51e-05,0.149,0.173,130.651,4
Straight From The Heart,Cuts Like A Knife,Bryan Adams,1983-01-18,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",211933,56,0.587,0.237,0,-18.466,1,0.0272,0.0766,0.0,0.139,0.366,84.764,4
"When They Fight, They Fight",Con Law,Generationals,2009-07-21,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",200213,59,0.755,0.898,11,-2.051,0,0.0323,0.242,0.000145,0.144,0.966,119.756,4
Colour My Heart,Strange EP,Charlotte OC,2014-09-02,"['indie electropop', 'uk pop', 'vapor pop']",280977,33,0.506,0.57,1,-8.091,0,0.0352,0.538,5.5e-05,0.109,0.102,118.131,4
Affection,Affection,Cigarettes After Sex,2015-10-05,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",311000,54,0.415,0.425,7,-11.232,1,0.025,0.497,0.908,0.105,0.248,89.839,4
Ribcage - Acoustic Version,"Acoustic EP, Vol. 1",Crywolf,2015,"['chillstep', 'edm', 'indie poptimism', 'melodic dubstep']",264000,15,0.578,0.31,4,-12.549,1,0.0279,0.893,0.0108,0.356,0.275,100.019,4
Ribcage - Acoustic Version,"Acoustic EP, Vol. 1",Crywolf,2015,"['chillstep', 'edm', 'indie poptimism', 'melodic dubstep']",264000,15,0.578,0.31,4,-12.549,1,0.0279,0.893,0.0108,0.356,0.275,100.019,4
Atlas Stone,The Mountain,Haken,2013-09-17,"['jazz metal', 'progressive metal', 'symphonic rock']",453866,39,0.45,0.896,0,-5.869,1,0.0455,0.00435,0.00124,0.145,0.34,105.082,3
Burden (Mr FijiWiji Remix),Burden (Mr FijiWiji Remix),Subtact,2015-10-02,"['future bass', 'gaming edm', 'pop edm']",264316,39,0.186,0.366,4,-12.881,0,0.0465,0.135,0.14,0.38,0.0382,188.172,4
Moondust - Stripped; EP Version,Habits of My Heart,Jaymes Young,2014-09-28,"['indie poptimism', 'modern rock', 'pop']",216720,59,0.556,0.132,6,-13.38,0,0.0457,0.928,0.0,0.128,0.236,73.04,4
Ring My Bells,Insomniac,Enrique Iglesias,2007-01-01,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",235186,38,0.815,0.632,6,-6.925,0,0.0351,0.111,0.00398,0.0923,0.425,115.008,4
I Like It,Euphoria (Standard US/Latin version),Enrique Iglesias,2010-01-01,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",231786,65,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,4
Tired Of Being Sorry,Insomniac,Enrique Iglesias,2007-01-01,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",241426,37,0.698,0.723,0,-5.884,0,0.0252,0.0527,0.000214,0.29,0.651,120.006,4
Heart Attack,SEX AND LOVE,Enrique Iglesias,2014-05-06,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",170146,47,0.427,0.895,4,-4.059,1,0.109,0.0717,0.0,0.409,0.414,154.048,4
Somebody's Me,Insomniac,Enrique Iglesias,2007-01-01,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",238466,39,0.627,0.553,1,-6.916,1,0.0254,0.296,0.0,0.11,0.356,82.999,4
Autumn Leaves,Clapton,Eric Clapton,2010-09-27,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",340786,56,0.549,0.188,11,-17.402,0,0.0309,0.795,0.682,0.11,0.198,82.745,4
Owl's Friend,Owl's Friend,Alan Gogoll,2017-02-13,"['calming instrumental', 'tassie indie']",221507,31,0.486,0.19,2,-17.187,1,0.0573,0.971,0.923,0.108,0.799,113.487,4
Haiti,Funeral,Arcade Fire,2004-06-16,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",247306,49,0.462,0.809,2,-7.309,1,0.038,0.265,0.128,0.638,0.458,99.902,4
His Theme,UNDERTALE Soundtrack,Toby Fox,2016-06-03,['indie game soundtrack'],125333,54,0.435,0.633,11,-10.502,1,0.0614,0.436,0.761,0.249,0.299,179.968,4
Love Songs For Robots,Love Songs For Robots,Patrick Watson,2015-05-11,"['chamber pop', 'indie folk']",217606,52,0.419,0.237,6,-14.936,1,0.0334,0.915,0.807,0.123,0.082,117.069,4
One More Step Away,All the Wars,The Pineapple Thief,2012-09-03,"['art rock', 'modern progressive rock', 'neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",185288,9,0.551,0.407,7,-6.176,1,0.0304,0.457,0.0,0.144,0.609,133.97,1
Freaks & Animals,Eidolon,Rishloo,2007-05-21,"['alternative metal', 'progressive alternative', 'progressive metal']",250840,37,0.254,0.755,1,-5.657,0,0.044,0.000325,0.0174,0.0609,0.337,176.214,3
Meaningless,In The Passing Light Of Day,Pain of Salvation,2017-01-13,"['neo-progressive', 'prog metal', 'progressive metal', 'swedish progressive metal', 'symphonic rock']",287466,42,0.579,0.661,7,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,3
Where Is My Mind,Where Is My Mind,Nada Surf,1999-06-08,['power pop'],260613,43,0.474,0.532,11,-11.141,0,0.0432,0.00386,0.27,0.0805,0.0414,151.982,4
Bond,Magnolia,The Pineapple Thief,2014-09-15,"['art rock', 'modern progressive rock', 'neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",271733,25,0.228,0.676,7,-6.49,0,0.0319,0.00858,0.0394,0.316,0.227,79.035,4
Breathe,Magnolia,The Pineapple Thief,2014-09-15,"['art rock', 'modern progressive rock', 'neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",170026,23,0.572,0.709,2,-5.558,1,0.0446,0.00577,0.000602,0.311,0.395,150.078,4
Gemini,Culcha Vulcha,Snarky Puppy,2016-04-26,"['contemporary jazz', 'funk rock', 'jazz funk', 'jazz fusion', 'progressive jazz fusion']",315250,39,0.641,0.459,10,-13.109,0,0.0236,0.49,0.885,0.0808,0.503,98.036,4
Our Corner of the Universe,Our Corner of the Universe,K.S. Rhoads,2016-05-31,"['acoustic pop', 'stomp and holler']",319386,42,0.273,0.0924,5,-13.045,0,0.0362,0.953,0.148,0.108,0.0627,136.02,4
"One Day You'll Dance for Me, New York City","One Day You'll Dance for Me, New York City",Thomas Dybdahl,2004-10-18,"['norwegian indie', 'norwegian pop', 'norwegian rock', 'norwegian singer-songwriter']",294519,40,0.59,0.183,0,-13.164,1,0.0298,0.84,0.338,0.359,0.153,116.028,3
We Have a Map of the Piano,Finally We Are No One,múm,2002-05-20,"['compositional ambient', 'folktronica', 'icelandic electronic', 'icelandic indie', 'icelandic pop', 'post-rock']",319760,41,0.673,0.447,2,-13.862,1,0.0318,0.909,0.933,0.0574,0.19,123.999,4
The Blue,On An Island,David Gilmour,2006-03-06,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'rock', 'symphonic rock']",326280,41,0.429,0.365,4,-11.625,1,0.0254,0.712,0.0381,0.137,0.104,85.045,4
The Rain Song - Remaster,Houses of the Holy (Remaster),Led Zeppelin,1973-03-28,"['album rock', 'classic rock', 'hard rock', 'rock']",459093,63,0.336,0.318,0,-11.412,1,0.0263,0.317,0.0716,0.111,0.24,79.66,4
To the Sun and All the Cities in Between,To The Sun And All The Cities In Between,City of the Sun,2016-03-04,['american post-rock'],284020,33,0.399,0.205,9,-20.563,1,0.035,0.689,0.923,0.0961,0.0653,128.925,4
Hostage - Hounded Remix,Klangstof Remixes: Dawn,Klangstof,2017-08-15,"['dutch indie', 'dutch indie rock', 'vapor soul']",193136,34,0.693,0.43,5,-10.528,1,0.0667,0.553,0.0417,0.349,0.219,99.967,4
Big Chair,The Boy With No Name,Travis,2007-05-07,"['britpop', 'modern rock', 'neo mellow', 'pop rock', 'rock']",247666,37,0.623,0.682,6,-7.954,0,0.0343,0.0477,0.00225,0.106,0.382,113.003,4
Miss You,Torches,Foster The People,2011-05-23,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",212893,54,0.625,0.994,0,-3.951,0,0.184,0.0214,0.0166,0.0954,0.113,120.994,4
Rest My Chemistry,Our Love To Admire,Interpol,2007-07-10,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']",301093,65,0.47,0.878,11,-5.576,0,0.0377,0.0185,0.0839,0.276,0.423,150.093,4
Into The Ocean,The Source,Ayreon,2017-04-14,"['celtic metal', 'dutch metal', 'metal', 'neo classical metal', 'power metal', 'prog metal', 'progressive metal', 'sci-fi metal', 'symphonic metal']",293400,28,0.532,0.88,7,-7.408,1,0.0298,3.78e-05,1.47e-05,0.179,0.625,129.999,4
Holding Rivers,In Silence We Yearn,Oh Hiroshima,2015-11-06,"['instrumental post-rock', 'nordic post-rock', 'orebro indie', 'post-rock']",405536,33,0.388,0.646,2,-6.817,1,0.0276,0.00117,0.859,0.11,0.16,179.972,4
Zaris,Zaris / Cast the Route,Mooncake,2011-05-09,"['atmospheric post-rock', 'instrumental post-rock', 'post-rock', 'russian post-rock']",315329,36,0.366,0.443,2,-8.154,0,0.0304,0.513,0.945,0.107,0.0546,140.076,4
Need 2 - Audiotree Live Version,Pinegrove on Audiotree Live,Pinegrove,2016-02-01,"['indie folk', 'indie rock', 'new jersey indie', 'small room']",188615,34,0.315,0.557,4,-9.176,1,0.0276,0.00266,0.609,0.0859,0.227,76.512,4
Hold On,+4626-COMFORTZONE,Beardfish,2015-01-23,"['neo-progressive', 'progressive metal', 'progressive rock', 'swedish prog', 'symphonic rock']",467053,22,0.611,0.628,2,-10.902,0,0.0338,0.0166,0.0115,0.0921,0.602,133.953,4
"Out of My Mind - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,John Mayer,2008,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",610533,48,0.393,0.386,7,-10.593,1,0.0389,0.403,0.0688,0.754,0.24,108.527,3
"Everyday I Have The Blues - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,John Mayer,2008,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",254266,49,0.356,0.607,0,-8.284,1,0.0438,0.00419,0.00379,0.934,0.456,98.272,4
Lost In Hollywood,Mezmerize,System Of A Down,2005-05-17,"['alternative metal', 'nu metal', 'rap metal', 'rock']",320693,65,0.295,0.797,8,-3.193,0,0.0301,0.598,0.000427,0.125,0.107,150.301,4
Lost In Hollywood,Mezmerize,System Of A Down,2005-05-17,"['alternative metal', 'nu metal', 'rap metal', 'rock']",320693,65,0.295,0.797,8,-3.193,0,0.0301,0.598,0.000427,0.125,0.107,150.301,4
Lost In Hollywood,Mezmerize,System Of A Down,2005-05-17,"['alternative metal', 'nu metal', 'rap metal', 'rock']",320693,65,0.295,0.797,8,-3.193,0,0.0301,0.598,0.000427,0.125,0.107,150.301,4
One Sweet World - Live,Remember Two Things,Dave Matthews Band,1993-11-09,"['jam band', 'neo mellow', 'pop rock']",309466,42,0.579,0.645,3,-14.408,1,0.0391,0.34,2.6e-06,0.211,0.544,106.062,4
Road Runner,In The Spotlight,Bo Diddley,1960-01-01,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",167866,44,0.54,0.784,4,-10.369,1,0.0575,0.137,0.00113,0.346,0.964,131.918,4
Sideways,The Clarence Greenwood Recordings,Citizen Cope,2004,['neo mellow'],322186,58,0.573,0.431,2,-6.88,1,0.035,0.0894,0.0,0.183,0.187,112.408,4
Jupiter,Planetarium,James McAlister,2017-06-09,['experimental pop'],430383,39,0.58,0.528,5,-13.666,1,0.0539,0.579,0.239,0.153,0.128,120.005,4
Country Hymn,Corduroy Road,Adam Young,2016-09-01,['indiecoustica'],180800,34,0.614,0.16,5,-17.205,1,0.0384,0.938,0.825,0.0956,0.137,114.002,4
"Namaste, Alvida - Original Mix",Touch,MitiS,2014-07-08,"['chillstep', 'complextro', 'edm', 'electro house', 'filthstep', 'future bass', 'melodic dubstep', 'pop edm']",295890,27,0.511,0.899,8,-4.632,1,0.0348,0.0056,0.528,0.827,0.278,145.983,4
The Tortoise and the Tourist,Strangers to Ourselves,Modest Mouse,2015-03-13,"['alternative rock', 'dance-punk', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']",220666,34,0.452,0.817,7,-5.478,1,0.0482,0.0462,0.12,0.153,0.513,155.103,4
Waiting for the 7.18,A Weekend In The City (Re-release),Bloc Party,2007-02-06,"['alternative dance', 'alternative rock', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",255066,29,0.366,0.896,5,-4.912,1,0.112,0.00105,0.00118,0.193,0.253,164.996,4
Fake Empire,Boxer (Standard Version),The National,2007-05-22,"['indie rock', 'modern rock']",205040,51,0.325,0.77,0,-6.789,1,0.0334,0.143,0.901,0.0731,0.312,101.958,3
Megan,Wake Up,Anesthesia,2008-08-29,[],324320,30,0.567,0.319,6,-13.334,1,0.0389,0.506,0.332,0.138,0.065,99.975,4
Stratus,The Waiting Room,Lusine,2013-02-18,"['chillwave', 'drill and bass', 'electronica', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno', 'wonky']",332681,16,0.278,0.863,4,-10.739,0,0.039,0.0134,0.764,0.126,0.344,140.044,3
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
Saija,"Zaman, Zaman",The Trees and The Wild,2016-09-16,"['indonesian experimental', 'indonesian indie']",527266,22,0.275,0.648,11,-5.005,1,0.0323,0.102,0.901,0.146,0.0413,76.076,4
