track,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Digging My Potato,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],144560,42,0.661,0.0881,10,-19.451,0,0.449,0.468,0.138,0.109,0.279,139.466,3
The Egg and I,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],162600,42,0.742,0.414,10,-9.332,0,0.0529,0.0387,0.58,0.0703,0.283,98.018,4
Time to Know - Be Waltz,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],229893,31,0.418,0.779,1,-6.114,1,0.0387,0.254,0.138,0.129,0.8,107.734,4
7 Minutes,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],408960,36,0.469,0.662,1,-10.327,1,0.0454,0.00288,0.768,0.0619,0.217,148.481,1
Mushroom Hunting,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,[],199573,40,0.553,0.749,4,-6.367,1,0.0392,0.759,0.328,0.325,0.955,132.049,4
Space Lion,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],431360,50,0.402,0.36,3,-12.329,1,0.0318,0.0966,0.784,0.0911,0.142,161.965,4
Farewell Blues,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],331626,30,0.369,0.136,0,-17.094,0,0.0351,0.439,0.0014,0.125,0.062,73.726,3
Forever Broke,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],213866,26,0.491,0.0302,2,-18.809,1,0.0485,0.799,0.69,0.111,0.282,105.974,4
What Planet Is This.,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,[],164600,45,0.519,0.973,1,-5.19,1,0.171,0.0168,0.839,0.104,0.742,143.667,4
Butterfly,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],299266,27,0.287,0.175,1,-15.149,1,0.0301,0.888,0.00109,0.0987,0.0388,101.768,1
Papa Plastic,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],251400,26,0.566,0.676,5,-7.148,0,0.0324,0.0111,0.213,0.0977,0.34,94.822,4
Dijurido,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],118573,25,0.359,0.0676,9,-18.583,0,0.0382,0.986,0.836,0.133,0.283,106.797,1
Waltz for Zizi,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],209400,45,0.576,0.239,9,-15.156,1,0.0278,0.62,0.608,0.119,0.132,96.942,3
Pot City,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],134026,44,0.73,0.252,9,-12.08,1,0.0783,0.0381,0.803,0.0884,0.444,119.815,4
Goodnight Julia,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],116933,33,0.248,0.143,5,-10.835,1,0.039,0.984,0.646,0.105,0.13,101.627,1
Rush,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],214173,53,0.492,0.883,7,-6.998,0,0.0535,0.082,0.917,0.333,0.507,135.946,4
Hamduche,COWBOY BEBOP Knockin' on Heaven's Door Ask DNA,SEATBELTS,2001-07-25,[],114093,41,0.575,0.0508,10,-15.241,0,0.0878,0.988,1.45e-06,0.164,0.267,133.781,5
Memory,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],91933,45,0.524,0.0195,5,-26.262,0,0.144,0.926,0.957,0.129,0.346,132.963,5
Felt Tip Pen,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],162466,44,0.626,0.35,9,-14.699,0,0.0386,0.0659,0.566,0.275,0.453,106.861,4
Diamonds,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,[],241533,40,0.338,0.231,11,-13.251,1,0.036,0.767,7.76e-05,0.11,0.0826,69.503,4
Einstein Groovin',COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,[],379840,39,0.683,0.904,1,-7.363,1,0.0601,0.0322,0.0572,0.086,0.507,124.992,4
Too Good Too Bad,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],154800,47,0.599,0.898,5,-7.196,0,0.104,0.236,0.911,0.0853,0.59,123.014,4
Digging My Potato,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],144560,42,0.661,0.0881,10,-19.451,0,0.449,0.468,0.138,0.109,0.279,139.466,3
Piano Black,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],167906,48,0.701,0.725,10,-10.296,0,0.0461,0.166,0.898,0.109,0.65,120.866,3
Too Good Too Bad,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],154800,47,0.599,0.898,5,-7.196,0,0.104,0.236,0.911,0.0853,0.59,123.014,4
Rain - Demo Ver.,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],203800,32,0.352,0.153,10,-10.445,1,0.0292,0.683,4.29e-06,0.0629,0.0474,142.676,4
Road to the West,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],175973,41,0.288,0.175,10,-11.734,1,0.0335,0.97,0.925,0.0925,0.116,103.681,3
Cat Blues,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],157306,47,0.712,0.583,9,-9.471,0,0.0667,0.222,0.297,0.186,0.42,139.983,4
Slipper Sleaze,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],212933,26,0.646,0.676,8,-10.1,1,0.0387,0.608,0.878,0.1,0.789,96.544,4
N.Y Rush,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],305226,39,0.433,0.726,6,-10.734,1,0.0513,0.503,0.635,0.265,0.549,140.873,4
The Egg and You,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],224373,25,0.472,0.47,5,-15.253,1,0.0345,0.289,0.75,0.176,0.562,149.736,4
Rain - Demo Ver.,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],203800,32,0.352,0.153,10,-10.445,1,0.0292,0.683,4.29e-06,0.0629,0.0474,142.676,4
Car 24,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],169306,42,0.699,0.371,5,-9.148,1,0.0363,0.762,0.0108,0.0558,0.554,109.479,4
Bad Dog No Biscuits,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],250360,48,0.4,0.976,9,-6.113,0,0.156,0.00532,0.688,0.22,0.422,164.656,4
Kabutogani Kodai no Sakana,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],223106,23,0.363,0.568,9,-8.932,1,0.0694,0.33,0.928,0.128,0.517,164.128,4
Is It Real?,COWBOY BEBOP Knockin' on Heaven's Door Ask DNA,SEATBELTS,2001-07-25,[],280173,26,0.365,0.267,11,-13.445,1,0.0349,0.894,0.000211,0.102,0.0904,112.891,4
Black Coffee,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],194773,36,0.615,0.436,4,-13.685,0,0.0499,0.303,0.471,0.131,0.502,112.358,4
Time to Know - Be Waltz,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],229893,31,0.418,0.779,1,-6.114,1,0.0387,0.254,0.138,0.129,0.8,107.734,4
What Planet Is This.,COWBOY BEBOP Tank! the! Best!,SEATBELTS,2004-12-22,[],164600,45,0.519,0.973,1,-5.19,1,0.171,0.0168,0.839,0.104,0.742,143.667,4
Doggy Dog,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],196693,41,0.643,0.762,10,-9.805,0,0.0575,0.176,0.00492,0.15,0.13,168.086,4
"""Real Folk Blues"" For these days","""Real Folk Blues"" For these days",Various Artists,2020-05-22,[],262689,33,0.557,0.158,6,-12.529,0,0.0558,0.903,1.29e-06,0.109,0.172,140.731,4
Yo Pumpkin Head,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],244840,40,0.531,0.926,7,-5.458,1,0.0867,0.0203,0.925,0.316,0.68,189.768,4
Clutch,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],316066,38,0.452,0.633,0,-9.181,1,0.0624,0.071,0.325,0.0605,0.633,152.367,4
No Reply,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],361026,39,0.476,0.596,8,-6.947,1,0.0289,0.0318,1.58e-06,0.0698,0.155,81.642,4
24hours Open,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],202840,35,0.211,0.703,0,-10.995,1,0.24,0.731,0.882,0.301,0.381,80.194,3
The Real Man,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],240573,35,0.374,0.944,1,-7.769,1,0.0883,0.00632,0.858,0.41,0.308,165.03,4
Piano Bar Ⅰ,COWBOY BEBOP Vitaminless,Various Artists,1998-06-03,[],203760,30,0.632,0.135,0,-17.322,1,0.0933,0.986,0.908,0.103,0.378,117.569,4
Bad Dog No Biscuits,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21,[],250360,48,0.4,0.976,9,-6.113,0,0.156,0.00532,0.688,0.22,0.422,164.656,4
Go Go Cactus Man,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),Various Artists,1999-05-01,[],157626,29,0.301,0.689,0,-8.259,1,0.0472,0.000675,0.877,0.585,0.392,116.671,4
Pushing the Sky,COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues),SEATBELTS,2001-08-29,[],249266,37,0.456,0.966,2,-6.254,1,0.18,0.00326,0.221,0.108,0.234,127.033,4
Power Of Kung Food Remix,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],328000,35,0.616,0.751,1,-10.633,1,0.11,0.0185,0.857,0.359,0.425,124.905,4
Bindy,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),Various Artists,1998-10-21,[],138733,25,0.655,0.681,2,-8.032,1,0.0573,0.671,0.568,0.0573,0.937,165.71,4
Piano Black - Ian O'Brien Remix,COWBOY BEBOP Remixes Music for Freelance,Various Artists,1999-06-02,[],411333,15,0.723,0.8,8,-9.999,1,0.0454,0.295,0.847,0.0842,0.353,120.992,3
Tank! - Luke Vibert Remix,COWBOY BEBOP Remixes Music for Freelance,Various Artists,1999-06-02,[],217066,18,0.691,0.89,7,-4.728,1,0.0573,0.0239,0.896,0.505,0.766,138.397,4
Fe - DJ Vadim Remix,COWBOY BEBOP Remixes Music for Freelance,Various Artists,1999-06-02,[],230493,13,0.733,0.292,10,-13.266,0,0.16,0.0103,0.000444,0.155,0.419,78.991,4
