artist,album,track_name,track_id,popularity,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,reverb
Elliott Smith,Either/Or: Expanded Edition,Punch and Judy,13LcTfTWaNHGDgZHbxTaxk,0,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'singer-songwriter']",0.496,0.379,9,-12.901,0,0.0365,0.138,0.115,0.208,132.227,145707,4,0
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,82,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.618,0.938,9,-3.442,1,0.0456,0.0,0.167,0.875,91.455,269000,4,0
The Ransom Collective,Traces,Open Road,1fi8KOnEM6Jz9moa2yGFgQ,28,"['pinoy indie', 'pinoy rock']",0.705,0.83,7,-6.082,1,0.0284,0.0154,0.21,0.438,125.99,253131,4,0
The Band CAMINO,I Spend Too Much Time in My Room,I Spend Too Much Time in My Room,6XHikJpK06NoXaFwkH4tPL,50,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",0.48,0.439,9,-7.221,1,0.025,0.00385,0.514,0.152,97.055,272378,4,0
Arctic Monkeys,AM,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,88,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.548,0.532,5,-7.596,1,0.0323,0.000263,0.217,0.405,85.03,272394,4,0
Various Artists,The Flash – Music from the Special Episode: Duet,Moon River,6WZRJoYxnqshV9kXJPJxIu,0,[],0.29,0.154,10,-11.548,1,0.033,0.0,0.118,0.185,65.924,134787,3,0
Jack Johnson,From Here To Now To You,I Got You,5WjDmjD39LsFCRRALhorjd,49,['neo mellow'],0.899,0.399,11,-6.553,1,0.038,1.52e-05,0.0923,0.544,98.067,179347,4,0
Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Home,7pBsquIkbED6W6uSQJGbkn,67,[],0.604,0.736,10,-5.596,0,0.0555,0.109,0.11,0.345,118.012,211360,4,0
Blah Blah Blah,This Is for the Time,No I Never,6Oq3FMO4LElj1FYsGcrCgW,34,['chicago indie'],0.529,0.584,0,-7.602,1,0.0413,0.185,0.186,0.29,120.934,139067,3,0
Psychic Babble,My Brother's Ears/My Sister's Eyes,Five Fold Kiss (Don't Sleep),409pABExhKsAxAMdFgWZYD,24,[],0.632,0.622,5,-6.843,1,0.0291,0.0151,0.57,0.41,110.043,264947,4,0
Various Artists,Barsuk Records Treats 2015,Water (feat. Rostam),79CB8J23CERN6uJzL2Ah9k,0,[],0.574,0.85,4,-4.297,1,0.0899,0.0,0.11,0.428,159.891,280333,4,0
PHOX,PHOX,Slow Motion,0gqysuo5JAFi4J1chidYzK,38,"['chamber pop', 'wisconsin indie']",0.548,0.503,7,-9.329,1,0.0306,0.000743,0.0733,0.482,133.76,294498,4,0
Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,5YgKH936kLB3ZMuMQf4nxG,0,"['ann arbor indie', 'bedroom soul', 'chill r&b', 'indie cafe pop', 'indie pop']",0.52,0.319,5,-7.461,1,0.0291,2.52e-05,0.138,0.165,62.985,243797,4,0
Jack Johnson,In Between Dreams,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,70,['neo mellow'],0.816,0.375,7,-8.053,1,0.0996,8.66e-06,0.0933,0.615,114.303,191907,4,0
Oh Wonder,Without You (BBC Session),Without You - BBC Session,7AuVmE2RMpRCKkzNRxziwq,36,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'pop']",0.438,0.058,11,-25.753,0,0.147,2.62e-06,0.144,0.388,175.321,235320,4,0
EDEN,i think you think too much of me,rock + roll,0Mf6WhWLfOpzOxacvbcboj,64,"['electropop', 'indie poptimism', 'modern rock', 'pop']",0.468,0.517,0,-7.049,0,0.0574,0.00705,0.171,0.425,69.282,296053,4,0
Various Artists,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,Heart Like Yours,6yaHCAtl9kA0K3FMumR2ph,0,[],0.497,0.259,7,-9.782,1,0.033,0.0,0.102,0.338,140.117,200560,3,0
Dancing Years,Learn to Kiss,Valentine,4Am4uSsB2uxcz5e34SxEiH,31,['indie anthem-folk'],0.389,0.227,0,-11.637,1,0.0312,0.000105,0.113,0.111,117.8,246573,4,0
John Mayer,Born and Raised,The Age of Worry,1RywwImkBFUEVcRTBmw7vL,56,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.508,0.362,7,-9.24,1,0.0251,4.48e-05,0.146,0.294,67.339,157587,4,0
Above & Beyond,Acoustic,Satellite / Stealing Time,7fBKJ3CxmG1LQHexTIY7g7,0,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",0.39,0.381,9,-10.525,0,0.0295,2.52e-05,0.111,0.122,132.917,304984,4,0
