,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
15,Vance Joy,Dream Your Life Away (Special Edition),Riptide,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0,0.151,0.51,101.654,204280,4
16,Twenty One Pilots,Blurryface,The Judge,1lguQJjlNrIOoOylYVZN3M,0.423,0.797,0,-4.659,1,0.124,0,0.137,0.592,82.617,297760,4
17,Arctic Monkeys,AM,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.000263,0.217,0.405,85.03,272394,4
18,Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0,0.167,0.875,91.455,269000,4
19,Lenka,Lenka,The Show,6IfGxW1hRMUjjgVSDXwcAi,0.753,0.59,0,-4.144,1,0.0317,0,0.0836,0.593,123.028,235693,4
20,Sufjan Stevens,All Delighted People EP,Enchanting Ghost,3g7rd5sRggCIBkZpVfh6ks,0.542,0.29,9,-11.429,0,0.0282,0.000583,0.112,0.413,139.676,219453,5
21,Wilco,Alpha Mike Foxtrot: Rare Tracks 1994 - 2014,True Love Will Find You in the End,0UXngwOq5t4Lazgxg96ryr,0.606,0.459,7,-8.457,1,0.0222,0.0149,0.114,0.484,100.239,230933,4
22,PHOX,PHOX,Slow Motion,0gqysuo5JAFi4J1chidYzK,0.548,0.503,7,-9.329,1,0.0306,0.000743,0.0733,0.482,133.76,294498,4
23,Wilco,Yankee Hotel Foxtrot,Radio Cure,5y4MDqm1PYa2T1vT6vboJI,0.481,0.201,9,-15.272,1,0.0344,0.0126,0.111,0.159,79.072,308533,4
24,Grizzly Bear,Veckatimest,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,0.537,0.712,5,-5.597,1,0.0286,0.00568,0.08,0.704,159.871,243160,4
25,Various Artists,Barsuk Records Treats 2015,Water (feat. Rostam),79CB8J23CERN6uJzL2Ah9k,0.574,0.85,4,-4.297,1,0.0899,0,0.11,0.428,159.891,280333,4
26,The Neighbourhood,"Thank You,",A Little Death,0Ot6e3wYVQQ1Us9PM977jE,0.53,0.763,6,-4.712,0,0.0332,1.86e-06,0.105,0.338,88.013,209707,4
27,The Band CAMINO,I Spend Too Much Time in My Room,I Spend Too Much Time in My Room,6XHikJpK06NoXaFwkH4tPL,0.48,0.439,9,-7.221,1,0.025,0.00385,0.514,0.152,97.055,272378,4
28,Jack Johnson,In Between Dreams,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,0.816,0.375,7,-8.053,1,0.0996,8.66e-06,0.0933,0.615,114.303,191907,4
29,Jack Johnson,From Here To Now To You,I Got You,5WjDmjD39LsFCRRALhorjd,0.899,0.399,11,-6.553,1,0.038,1.52e-05,0.0923,0.544,98.067,179347,4
30,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",This Is Gospel,3yZQk5PC52CCmT4ZaTIKvv,0.572,0.912,7,-4.875,1,0.0707,1.2e-06,0.102,0.606,156.073,187187,4
31,Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,0.691,0.631,2,-6.478,1,0.0368,1.13e-05,0.104,0.8,92.004,161124,4
32,Cavetown,This Is Home,This Is Home,2TI2fw9FWPeah6N4k1b4NU,0.81,0.266,7,-12.478,1,0.0407,1.05e-06,0.0962,0.212,130.041,226073,4
33,Big Thief,Dandelion,Masterpiece - (solo),5cic8eTn6twPA0ArO8zcjR,0.555,0.183,4,-8.58,1,0.0375,0,0.116,0.223,131.22,240955,4
34,Oh Wonder,Without You (BBC Session),Without You - BBC Session,7AuVmE2RMpRCKkzNRxziwq,0.438,0.058,11,-25.753,0,0.147,2.62e-06,0.144,0.388,175.321,235320,4
35,Hate Drugs,Beach Weekend,Never Wanna Leave,1Pa01iyZXm2CYtF0CbeXOG,0.267,0.105,0,-18.003,1,0.0364,0.181,0.0918,0.056,175.273,215476,3
36,Jesse Davidson,Lizard Boy,Will You Find Me,6VawWNiQidAnpI6kmLOULc,0.491,0.215,9,-11.198,1,0.0271,0.0283,0.115,0.39,80.287,211119,4
37,The xx,xx,Intro,0DAsxISzun85PbsqAfIzeC,0.617,0.778,9,-8.871,0,0.027,0.925,0.128,0.152,100.363,127920,4
38,The xx,I See You (Deluxe),I Dare You,0a0uLZhV1RcpiGy9ennJvb,0.752,0.543,1,-9.483,1,0.0398,0.0706,0.107,0.282,126.001,233280,4
39,Red Hot Chili Peppers,Stadium Arcadium,Readymade,2Y5ngAobMcspRywfmb77k5,0.524,0.945,11,-2.467,0,0.0797,0.00332,0.108,0.8,149.819,270467,4
40,EDEN,i think you think too much of me,rock + roll,0Mf6WhWLfOpzOxacvbcboj,0.468,0.517,0,-7.049,0,0.0574,0.00705,0.171,0.425,69.282,296053,4
41,Various Artists,The Flash – Music from the Special Episode: Duet,Moon River,6WZRJoYxnqshV9kXJPJxIu,0.29,0.154,10,-11.548,1,0.033,0,0.118,0.185,65.924,134787,3
42,Above & Beyond,Acoustic,Satellite / Stealing Time,7fBKJ3CxmG1LQHexTIY7g7,0.39,0.381,9,-10.525,0,0.0295,2.52e-05,0.111,0.122,132.917,304984,4
43,Tame Impala,Currents,Let It Happen,2X485T9Z5Ly0xyaghN73ed,0.602,0.881,1,-5.875,0,0.0443,0.0266,0.111,0.577,125.012,467587,4
44,The Paper Kites,twelvefour,Revelator Eyes,4A8wLC09mcPYI6ZwM6Ia44,0.52,0.717,8,-9.016,1,0.0299,0.054,0.173,0.568,153.025,262267,4
45,Alexi Murdoch,Four Songs,Song For You,6okQlv5v9VaJEzoxBUAx4S,0.501,0.104,4,-25.111,1,0.0355,0.00298,0.116,0.302,154.798,257160,4
46,Troye Sivan,Bloom,Dance To This (feat. Ariana Grande),2NjO87HyT80fsgejd3PLYW,0.736,0.756,11,-7.099,1,0.047,0.00577,0.106,0.712,117.016,231847,4
47,John Mayer,Where the Light Is: John Mayer Live In Los Angeles,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0EUSbTvyZfo9QOcxunL9Ro,0.368,0.44,4,-11.486,1,0.0294,8.83e-05,0.966,0.285,91.799,345627,4
48,The Paper Kites,twelvefour,Electric Indigo,79xbBvSiL94cKEww2amEI4,0.576,0.698,1,-8.011,1,0.035,0.198,0.117,0.698,95.978,223520,4
49,Elliott Smith,Either/Or: Expanded Edition,Punch and Judy,13LcTfTWaNHGDgZHbxTaxk,0.496,0.379,9,-12.901,0,0.0365,0.138,0.115,0.208,132.227,145707,4
50,John Mayer,Born and Raised,The Age of Worry,1RywwImkBFUEVcRTBmw7vL,0.508,0.362,7,-9.24,1,0.0251,4.48e-05,0.146,0.294,67.339,157587,4
51,Joywave,How Do You Feel Now?,Nice House,0GAvMukpDYssdZgMLsSuhx,0.549,0.754,5,-6.818,1,0.0489,0.0692,0.124,0.0475,134.988,340040,4
52,The xx,I See You (Deluxe),Seasons Run,2hYwDaO91sbawS7qmrfI52,0.57,0.668,11,-7.212,1,0.0293,0.0138,0.195,0.317,107.012,260292,4
53,a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4
54,The Chieftains,Voice of Ages,Down In The Willow Garden,1lryIQgUxmnNNh37oLCN6G,0.264,0.155,9,-15.25,1,0.0329,0.13,0.107,0.181,98.414,256067,3
55,The Paper Kites,twelvefour: outtakes,Holes,4fpAxDV1fhSHMotzyKkFhz,0.526,0.318,1,-13.514,1,0.028,0.347,0.103,0.162,79.981,268933,3
56,A Silent Film,Sam's Town (Piano Versions),When You Were Young - Piano Version,7qWh074v3oQ1ztuGjeXcLy,0.639,0.178,8,-13.525,0,0.0461,0.00118,0.0945,0.247,124.769,224960,4
57,Panic! At The Disco,Death of a Bachelor,Death of a Bachelor,1BECwm5qkaBwlbfo4kpYx8,0.462,0.538,0,-5.527,1,0.059,0,0.429,0.405,139.256,203507,4
58,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Home,7pBsquIkbED6W6uSQJGbkn,0.604,0.736,10,-5.596,0,0.0555,0.109,0.11,0.345,118.012,211360,4
59,Psychic Babble,My Brother's Ears/My Sister's Eyes,Five Fold Kiss (Don't Sleep),409pABExhKsAxAMdFgWZYD,0.632,0.622,5,-6.843,1,0.0291,0.0151,0.57,0.41,110.043,264947,4
60,The Greeting Committee,It’s Not All That Bad,Hands Down,0dqJjKKxuKD5Dt3QH2n4CG,0.426,0.634,4,-7.116,1,0.0341,0.00356,0.222,0.284,98.925,257693,4
61,Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,3FTRSa9mWB3kKx2jkhUAN3,0.751,0.344,6,-7.712,1,0.0379,1.62e-06,0.113,0.471,122.1,235932,3
62,Sea Wolf,Old World Romance,Whirlpool,5SDEirHg6Y8fCYuKMnAaC5,0.548,0.509,9,-7.937,1,0.0288,0.702,0.079,0.484,78.974,232333,4
63,Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)","Dil Beparvah - The Dewarists, Season 5",4kXkT9HF9ZfDjuv3LIKcwJ,0.762,0.391,1,-11.735,1,0.0337,0.000521,0.112,0.355,137.956,250000,3
64,Dancing Years,Learn to Kiss,Valentine,4Am4uSsB2uxcz5e34SxEiH,0.389,0.227,0,-11.637,1,0.0312,0.000105,0.113,0.111,117.8,246573,4
65,Beach Weather,What a Drag,Swoon,1280ebYtTct0ytDEZdrcvQ,0.668,0.67,6,-5.919,0,0.0486,0.00942,0.119,0.654,92.016,221926,4
66,Iron & Wine,Call It Dreaming,Call It Dreaming,0iWUW8UNkmyUa8Aa6anow6,0.519,0.515,5,-9.448,1,0.031,5.66e-05,0.107,0.714,80.329,231760,4
67,Michael Kiwanuka,Love & Hate,Love & Hate,7oOEFDLSQscl0uGulnIEmG,0.278,0.494,7,-7.853,0,0.029,0.000407,0.173,0.527,169.661,427093,4
68,Shankar-Ehsaan-Loy,Rock On,Ye Tumhari Meri Baatein,1xaj4bm3GMthtoZHUfepl1,0.351,0.552,5,-7.404,1,0.0273,0.000494,0.112,0.319,87.769,324058,4
69,Christian Leave,Hope,Please Notice,36seMHoyXmLUNxcwzwjdF7,0.55,0.271,2,-8.451,1,0.0297,3.21e-06,0.107,0.198,111.344,116667,4
70,The Local Train,Vaaqif,Aaftaab,4LtSTc3xANVhYeeN69nscM,0.464,0.391,6,-9.884,1,0.0384,9.64e-05,0.105,0.418,106.877,233472,4
71,Various Artists,Jhoom - Ali Zafar (Original),Jhoom,6p8QLtqjp17hT7Gx0thm8E,0.731,0.516,0,-10.565,1,0.0354,0,0.108,0.606,128.029,384993,4
72,Beta Radio,Colony of Bees,Monument,79DVsKNOFWqtEIGSxbLjnV,0.243,0.36,3,-10.682,1,0.0363,0.0232,0.125,0.113,96.004,318093,4
73,Vansire,Nice to See You,Nice to See You,79OHuiNbjDmlz3xjYMNcaA,0.539,0.535,1,-9.717,1,0.0319,0.632,0.263,0.352,78.885,181678,4
74,Lauv,i'm so tired... (Stripped - Live in LA),i'm so tired... - Stripped - Live in LA,6bnT4Xhs1lkOHgFjHq6M3b,0.491,0.196,11,-8.455,1,0.0465,0,0.0986,0.364,93.818,187675,4
75,Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,5YgKH936kLB3ZMuMQf4nxG,0.52,0.319,5,-7.461,1,0.0291,2.52e-05,0.138,0.165,62.985,243797,4
76,Karen O,Where The Wild Things Are Motion Picture Soundtrack: Original Songs By Karen O And The Kids,Hideaway,5n0s9Ec2un5JNq8YnKnbgO,0.256,0.22,6,-15.686,1,0.0387,0.502,0.0937,0.0386,81.681,310920,4
77,Cold War Kids,LA DIVINE,Free To Breathe,0LGjEqDTpbAdQG8INBag3s,0.406,0.108,2,-13.723,1,0.05,0.0123,0.115,0.147,79.668,199560,1
78,The Milk Carton Kids,Prologue,Michigan,0WkJWnMCumm1fnFscdY7Rw,0.554,0.235,10,-14.609,1,0.0342,0.00328,0.114,0.232,121.836,330772,4
79,Ollie MN,OMN,In Quiet Rooms,1IXiBroTLzGMKvd2OTR0GG,0.821,0.35,7,-10.571,1,0.0412,0.478,0.329,0.379,119.991,306000,4
80,John Mayer,I Guess I Just Feel Like,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,0.556,0.528,4,-8.033,1,0.0266,0.0964,0.122,0.163,159.821,285480,4
81,Brolly,Hollow Home Rd,Hollow Home Rd,50e8CZRLfPWaP3qaXB8ttR,0.369,0.273,0,-5.71,1,0.0317,2.31e-05,0.103,0.174,146.652,263752,3
82,John Mayer,Room For Squares,Not Myself,24QhGejjYWG2CfbHRGLmEr,0.539,0.49,1,-7.258,1,0.0234,0.0166,0.102,0.226,89.991,216573,4
83,Toh Kay,Streetlight Lullabies,"A Better Place, a Better Time",1PcWIO6xttH5x7xw76jYnW,0.559,0.292,1,-14.053,1,0.0523,0.428,0.113,0.609,120.445,366240,4
84,The Paper Kites,Woodland - EP,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,0.592,0.416,1,-9.794,1,0.0246,0.000586,0.112,0.417,96.002,210080,4
85,The Black Skirts,Hollywood,Hollywood,4kqN6K6J1nM18zivvFLx8v,0.552,0.782,1,-8.082,0,0.0302,0.904,0.1,0.513,147.953,331000,4
86,Valley,This Room Is White,Slacks,2SYWArhFYrwDYm0gM1aonU,0.573,0.472,11,-12.427,1,0.0289,0.135,0.0937,0.0741,104.001,318960,4
87,Blah Blah Blah,This Is for the Time,No I Never,6Oq3FMO4LElj1FYsGcrCgW,0.529,0.584,0,-7.602,1,0.0413,0.185,0.186,0.29,120.934,139067,3
88,Daphne Loves Derby,Acoustic,"Simple, Starving to Be Safe",5pkCrzoTHVKyJPLI0ukJ01,0.652,0.36,4,-13.882,1,0.0352,0.000145,0.113,0.395,134.978,231053,4
89,Tycho,Weather,Skate,566w1sloS9qx61zl7bN9GE,0.703,0.231,5,-13.094,0,0.0338,0.0207,0.103,0.421,97.07,187340,4
90,Charli XCX,Boys,Boys,5o4yGlG0PfeVUa6ClIyOxq,0.867,0.545,2,-5.192,1,0.0625,0.000289,0.0505,0.525,139.943,162586,4
91,Simon Steadman,Hold on (Rudderless Soundtrack),Hold on (Rudderless Soundtrack),513Xg3PLHnA7ZNDZPWyFbs,0.635,0.464,0,-8.166,1,0.0276,0,0.0867,0.272,87.987,180778,4
92,Alvvays,Alvvays,"Archie, Marry Me",5HLes17mwCwKt81mi0Tk35,0.27,0.83,7,-4.592,1,0.0741,0.434,0.142,0.205,117.314,196560,4
93,Vansire,Angel Youth,Nice to See You,7nEZZ1mWK7h98x8ENbQuqJ,0.539,0.535,1,-9.717,1,0.0319,0.632,0.263,0.352,78.885,181678,4
94,65daysofstatic,No Man's Sky: Music For An Infinite Universe,Hypersleep,6bbjsAJnozh2qYMS9lFQDz,0.281,0.369,6,-16.022,0,0.036,0.964,0.274,0.211,76.155,173400,3
95,Tycho,Past Is Prologue,Send And Receive,2F74sQhuAH511mBJVn0zZI,0.558,0.491,9,-14.688,0,0.0382,0.871,0.385,0.287,160.052,293133,4
96,Chequerboard,The Unfolding,Opening the Gates,0JqBTf4ImzOf3TNR5wgefk,0.679,0.428,4,-13.949,0,0.0313,0.912,0.353,0.283,105.519,282677,4
97,Tycho,Past Is Prologue,Sunrise Projector,3NyxAqxgHOGaZW00h9me4U,0.609,0.337,7,-12.964,1,0.0321,0.549,0.0899,0.114,99.996,184187,4
98,Maximum Love,Dead By Dawn,Memories,57WVHpcqFkQUPKn2OO1z07,0.463,0.577,0,-8.065,1,0.0258,0.843,0.246,0.0394,94.059,231396,4
99,Maximum Love,Dead By Dawn,Space Vulture 21210,7ajNV1S77exwNgRlotWvms,0.175,0.263,2,-17.49,0,0.0408,0.935,0.108,0.0321,78.954,158196,1
100,Arctic Vision,Arctic Vision,Neon Colors,1bPAagmvoXWHXsr9R5kzCR,0.639,0.518,7,-11.304,0,0.0297,0.407,0.111,0.12,108.006,228889,4
101,Taylor Davis,Gaming Fantasy,Brothers (Fullmetal Alchemist),2lPm4DIJTmh8FC0e25fzxY,0.124,0.276,0,-14.038,1,0.0401,0.267,0.219,0.171,83.057,247929,4
102,Headphone Activist,Crystal Souls - EP,Crystal Souls,6quGxmpGA8TRhH2DY9yxcg,0.361,0.416,0,-13.476,1,0.0374,0.942,0.109,0.0646,149.931,208746,4
103,Koda,Staying,Staying,5G5ogjmnQxSQG9cskbNEse,0.267,0.244,4,-14.014,0,0.0447,0.314,0.0873,0.137,179.209,264046,3
104,Chequerboard,The Unfolding,Dunes,7gE1e9nz5axJlm26hkFuPE,0.436,0.186,8,-17.752,0,0.0314,0.963,0.255,0.112,136.525,466178,3
105,Chequerboard,The Unfolding,A Field of Night,0YeA95qfyzG5jhm8M5XTpp,0.113,0.236,7,-20.578,1,0.0414,0.912,0.348,0.0686,76.131,453701,4
106,Chequerboard,Dictaphone Showreels,Indian Ink,1A1nkiFF1PT2rGhlMjnSDN,0.515,0.237,3,-12.585,0,0.0402,0.927,0.308,0.492,184.153,179360,3
107,Chequerboard,The Unfolding,"Today Is Beautiful, We Have Things to Do",6XQMrYw79TV6Y6XkXgR4tM,0.665,0.271,4,-15.922,0,0.0404,0.898,0.0965,0.236,110.984,241482,4
108,Chequerboard,The Unfolding,The Sorrow Bird,6ciOtuhRKnISGs30YOHUiV,0.502,0.331,9,-13.961,1,0.0276,0.889,0.238,0.147,148.243,246732,4
109,Subtact,Burden (Mr FijiWiji Remix),Burden (Mr FijiWiji Remix),3TsbyfhFrXvBom8f6HQAqO,0.186,0.366,4,-12.881,0,0.0465,0.14,0.38,0.0382,188.172,264317,4
110,Fort Road,Cigarettes and Silhouettes,Fluke,0IiE1yb7QDBiFNtiSzDTZa,0.514,0.308,4,-12.67,1,0.0343,0.941,0.0988,0.0664,100.029,252029,4
111,Koda,The Last Stand,The Last Stand,0d5ZsRLGWEji6wcXYe4BOQ,0.236,0.429,2,-9.811,1,0.0314,0.264,0.0919,0.0359,63.219,524750,3
112,Stumbleine,Echo Chamber,Comatose,1kG89uVpqfPww03DecqG7O,0.413,0.493,6,-11.053,1,0.0334,0.85,0.0847,0.12,114.98,221739,4
113,Tycho,Dive,Elegy,5MbUyUE6erY9mVgXaecQwR,0.535,0.417,3,-12.651,1,0.0369,0.931,0.0721,0.171,120.099,263561,4
114,Lotus ,Nomad,Colorado,6ip7iRhaxc1yXD2nYM0Rw3,0.598,0.154,4,-18.272,1,0.0503,0.684,0.112,0.132,111.872,306840,4
115,Aether,Viraha,Flowerdance,7vj8WnBdih005tjGUOd6tp,0.641,0.111,6,-18.686,1,0.0386,0.887,0.0968,0.0647,110.993,216227,4
116,AK,As Time Goes By,As Time Goes By,2AwOCi3mxP4UfVjcu33g32,0.557,0.395,8,-12.449,1,0.0344,0.854,0.0719,0.0676,141.954,236620,4
117,The M Machine,The Warehouse,The Warehouse,60EgNlByxtWRUBll7Qhczk,0.603,0.309,0,-10.226,1,0.0412,0.961,0.0975,0.0964,140.078,146001,4
118,Tycho,Epoch,Receiver,78qM62MHvNxFJLpShqmq28,0.639,0.274,2,-16.048,0,0.0424,0.897,0.0897,0.0397,125.003,255209,4
119,Tycho,Past Is Prologue,Past Is Prologue,4vS5pFdTc072tP25kRqmWy,0.577,0.526,9,-9.957,0,0.0312,0.879,0.337,0.13,160.024,350187,4
120,Tycho,Past Is Prologue,Cloud Generator,0FokXo9HqLXMr4AyVemlcb,0.868,0.343,9,-11.317,0,0.0698,0.897,0.36,0.454,120.009,261293,4
121,Tycho,Past Is Prologue,Phoenix,1yAhBhgj0yXKSNSgwA7W9i,0.27,0.0703,2,-25.854,0,0.0399,0.705,0.1,0.18,72.764,86067,3
122,Tycho,Past Is Prologue,Send And Receive - Chachi Jones Remix,6x4x6EnufWQHVNGybYJF1S,0.63,0.619,9,-8.871,0,0.03,0.913,0.0944,0.26,95.006,357080,4
123,Tycho,Awake (Deluxe Version),Plains,1eueYfJA1ADnfghW90xxxf,0.384,0.333,5,-13.304,0,0.0314,0.767,0.647,0.0397,139.826,197184,4
124,Chequerboard,The Unfolding,Kestrel Rising,7BJ9IdbU8ArN9ZD0SMXApH,0.581,0.553,9,-9.537,0,0.0336,0.967,0.233,0.273,115.115,183779,4
125,Chequerboard,The Unfolding,The Unfolding,2GUKpUtQqJGguyNKUC7DlR,0.372,0.161,2,-16.966,1,0.0328,0.828,0.377,0.0965,157.555,404466,3
126,Explosions In The Sky,Manglehorn (Original Motion Picture Soundtrack),Hello!,6SZtWGjKULlJUW9sD5guhk,0.464,0.342,6,-19.402,1,0.0375,0.88,0.0741,0.0619,120.0,218960,4
127,Hammock,Maybe They Will Sing for Us Tomorrow,Gold Star Mothers,6fj0wMFyJLPOWXnUuwxXKT,0.0655,0.206,0,-15.466,1,0.0468,0.918,0.0736,0.0308,73.238,462480,5
128,Japanese Wallpaper,Japanese Wallpaper (Deluxe),Arrival,5sRclg7PPjvakws8COVa5S,0.474,0.214,11,-14.873,1,0.0318,0.621,0.0998,0.0394,115.014,315888,4
129,Adam Young,The Endurance,Ocean Camp,77HUL6RuRKZlYIgoErldxh,0.155,0.242,9,-22.761,1,0.0553,0.925,0.0885,0.263,141.14,243347,4
130,Adam Young,The Endurance,Abandon Ship,1xftUwu6qmcTgoTsVqADZk,0.186,0.0393,10,-31.09,1,0.0314,0.869,0.0995,0.117,59.304,248147,4
131,Adam Young,The Endurance,"She's Going, Boys",2RqxtBDY495TBrcbasjJLk,0.263,0.171,0,-33.687,1,0.0533,0.912,0.101,0.0392,78.953,226840,4
132,Adam Young,The Endurance,Elephant Island,7AJJqm8C3PCjR2ZEEbZflR,0.237,0.121,5,-21.945,1,0.0418,0.886,0.101,0.181,117.652,266560,4
133,Adam Young,The Endurance,800 Miles,7kU0KwT3Rh2qK9NW3tIxa3,0.189,0.0401,4,-27.259,1,0.0456,0.578,0.0856,0.0301,125.106,209960,5
134,Julien Marchal,Insight II,Insight XXIII,07vksUaY8FFvxVxGoPNxnU,0.462,0.177,0,-25.266,0,0.0391,0.93,0.11,0.279,80.136,190000,4
135,Hammock,"EPs, Singles and Remixes",South,265B2p4dQI79074FfrE1vE,0.0737,0.164,0,-16.567,1,0.0483,0.882,0.0763,0.0311,77.33,407450,1
136,Hammock,"The Sleepover Series, Vol. 2 (Bonus Track Version)",A Secret Hiding in the Open,2AH0k3GyMEpFNEaQ473jXY,0.2,0.181,6,-20.404,1,0.0572,0.886,0.118,0.0392,126.079,474053,4
137,Hammock,Raising Your Voice... Trying to Stop an Echo (Deluxe Edition),Passing Away,7kbEezmvGKoPbDUgCjHv80,0.148,0.247,4,-16.911,1,0.0357,0.888,0.106,0.0383,69.591,310162,5
138,Hammock,Maybe They Will Sing for Us Tomorrow,Three Sisters,52ftDoyBdXaCbQ2EVsp58m,0.162,0.121,2,-22.472,1,0.0512,0.74,0.111,0.034,70.818,265053,4
139,Hammock,Everything and Nothing,Marathon Boy,0QVTL2nnwTM9jfaPiXLX9I,0.166,0.242,1,-17.748,1,0.0347,0.884,0.104,0.0711,139.845,304307,5
140,Sad Souls,Apeiron,Cloud Speed,33x5orlhgXWVIVCHnqfs8S,0.334,0.0842,2,-24.786,1,0.0351,0.932,0.0795,0.109,139.466,185480,4
141,East Forest,Orbits,Limitations,6pP2A8xmx2aVMkHjVpau6S,0.251,0.189,2,-16.257,1,0.0384,0.894,0.557,0.0629,83.149,255627,4
142,Lowercase Noises,This Is for Our Sins,Silence of Siberia,21cUwlOjOehy98jgn29cTv,0.121,0.217,4,-18.448,1,0.0366,0.937,0.124,0.0362,80.207,446937,4
143,Luke Howard,Ten Sails,Oversky,16i48LRm5RQ3zx4IY57wGK,0.201,0.0062,9,-23.5,0,0.0418,0.872,0.0868,0.126,175.824,279000,4
144,Adam Young,Corduroy Road,Up With the Stars,1BLbS8ef2rBxtbV0tPpWNA,0.493,0.0934,10,-26.583,1,0.0423,0.916,0.104,0.208,88.035,94640,4
145,Tycho,Awake (Deluxe Version),Dye,08Z3vnfucOMerexVE2RR8w,0.547,0.758,9,-8.169,1,0.0308,0.931,0.235,0.308,156.035,317155,4
146,Lights & Motion,Chronicle,Paper Wings,4mgDeiu1EFuXrFXAoTqiFv,0.419,0.0177,0,-27.826,1,0.0405,0.82,0.1,0.0592,116.843,135440,4
147,Imogen Heap,Sparks (Deluxe Version),Climb to Sakteng,3ApUtLFimMhHLcPJau71y9,0.305,0.196,5,-17.198,1,0.0317,0.754,0.0788,0.0688,83.963,217840,4
